Sum of receipts,Column Labels,,,,,,,,,,,,,,,,,,,,,,,,,,
Row Labels,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Grand Total
WESTERN ILLINOIS UNIVERSITY,,,3863,,13622.56,14231.68,19933.87,11651.54,,,,,,,2848.36,8815.68,5709.44,,,3233.12,,,,,,,83909.25
78,5449442039,9435815978,18068200744,20875918817,21974261423,23257705123,26840976489,26109021934,29111271284,32177837486,34253836462,36021249175,37204859989,40712977744,40913892362,44854228397,51412284269,59469097648,56702195973,56864786328,70870292643,65945686934,73899679609,85410222188,95743565705,1.03842E+11,1.16742E+12
0.25% TAX-TVG NETWORK,,,,,,,,,,,,,53198.59,75886.38,77910.62,62309.25,106432.11,110974.23,129962.7,140374.12,167123.41,111046.98,,,,,1035218.39
1.5% TAX CHURCHILL DWNS TECH,,,,,,,,,,,,,294427.81,518733.96,669127.46,536132.57,1055154.34,1068648.37,1120230.2,1229887,1414316.88,847316.87,,,,,8753975.46
1.5% TAX-TVG NETWORK,,,,,,,,,,,,,319079.9,455158.84,509872.29,373804.27,638369.16,658354.05,777339.04,839840.37,1000101.63,664838.42,,,,,6236757.97
"1.5% TAX-YOUBET.COM, INC",,,,,,,,,,,,,423918.16,364179.1,306540.98,36061.68,,,,,,,,,,,1130699.92
1ST CHICAGO 1 MMF,,,27040.37,37583.06,17570.17,7318.05,1669.37,9687.33,27119.49,36745.91,30976.99,5086.67,,,,,,,,,,,,,,,200797.41
2% WINNING WAGER SURCHARGE,,,,,,,,,,,,,,,,,399588.81,871433.31,916883.82,909133.1,903287.78,821276.32,838538.34,1027185.53,920501.25,768494.1,8376322.36
2001 CH 45,,,,,151267.75,4981.27,,,,,,,,,,,,,,,,,,,,,156249.02
50% SALE/CHILD PORNGRAPHY CASE,,,,,,,,,,,,,,,,,,,40537.21,,,,,,,,40537.21
501/941 MMF,38422.2,71201.26,48888.1,13556.83,254.01,,,,,,,,,,,,,,,,,,,,,,172322.4
5TH THIRD CHLD SPRT CLRNG REPO,,,,,,,,,,,,,,,,,,,32.41,63.71,53.49,67.5,88.62,,,,305.73
8.5% PRI-MTL ADW LIC-BETZOTIC,,,,,,,,,,,,,,,,,,301.83,22.84,,,,,,,,324.67
8.5% PRI-MTL ADW LIC-CLB HAWTH,,,,,,,,,,,,,,,,,,,446.66,569.49,624.85,372.78,,,,,2013.78
8.5% PRI-MTL ADW LIC-TVG,,,,,,,,,,,,,,,,,,7258.33,2163.99,2404.33,2639.13,1443.42,,,,,15909.2
8.5% PRI-MTL ADW LIC-TWIN SPIR,,,,,,,,,,,,,,,,,,8426.86,1912.36,2156.25,2725.42,1423.05,,,,,16643.94
8.5% PRI-MTL ADW LIC-XPRS BET,,,,,,,,,,,,,,,,,,1606.3,574.94,601.74,614.46,364.99,,,,,3762.43
ACCRUED INTEREST ON BOND SALE,2546270.05,2250071.39,3158650.51,3756037.66,7283255.13,4704718.5,,3391290.4,9593760.24,346635288.5,3370800.25,597394.09,8316388.71,6677047.07,5802174.79,12728613.82,7666245.65,8792075.73,9859739.43,12646118.85,4603789.41,6667764.54,73551.06,85399.37,42670.91,51866.48,471300982.5
ADMINISTRATIVE REIMBURSEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,51181.5,51181.5
ADMIS TAX BOAT & GAMBLING,49278616,51207848,38244996,37182304,38763170,53472064,65865745,63835060,49765567,47872133,47225021,42976993,41268494,38556946,47256404,45526718,40991210,39449665,36767286,34909168,32623936,30792292,22921636,16071828,25461609,28769512,1067056221
ADMIS TAX-HARNESS RACING,175327.09,131004.83,139967.99,137817.81,129887.68,127406.35,125585.85,119899.65,102802.45,89044.7,81456.7,88316.55,85768.7,76513.35,,,,,,,,,,,,,1610799.7
ADMIS TAX-RACETRACKS,,,,,,,,,,,,,,,78226.5,80524.5,81261.45,64131.45,73480.05,67610.1,65303.29,51366.45,47895.25,10090.5,66845.85,45512.4,732247.79
ADMISSION FEE - OTB,,,,,,,,,,,,,,,,284070.43,323165,293927,256197,217454,175279,148261,25060,,,,1723413.43
ADMISSION TAX,925665,867212,826728,686884,717298,625734,588621,504061,455858.65,620425.95,954420,837250.5,580875,428787.5,352562,15474.57,,,,,,,,,,,9987857.17
ADVERTISING SALES,13919.17,,25000,25339.78,260740.26,,,13770,34325,14640,1165,3160,2300,3265,1780,,,,,,,,,,,,399404.21
AFDC COLLECTION/CRCUIT CLERK,8142360.06,10986898.64,3384790.04,1347846.95,710004.28,261837.34,,,,,,,,,,,,,,,,,,,,,24833737.31
AFDC COLLECTIONS,2536927.4,7792289.59,1944086.17,3528551.97,10697097.81,9361913.26,,,,,,,,,,,,,,,,,,,,,35860866.2
AGGREGATE MINING,7650,10175,6950,10650,7475,23450,10100,11950,7450,9100,6600,4950,2650,3950,,3650,2900,4950,2250,2700,4650,2450,6000,3300,4750,5300,166000
AGRIFIRST GRANT REPAYMENT,,,,,,,142987.09,84778,3000,30303.51,24156.03,,569.03,400,720,240,80,480,800,560,,,,,,,289073.66
AIM INSTITUTIONAL FUNDS MM,,,,,,,,,,,,6031.25,51037.7,,,,,,,,,,,,,,57068.95
AIM TREASURY CURV CLEARING MMF,,,,,,,,,,,,,,,,,,,172194.42,806722.64,2153446.61,5337153.71,4311888.93,165267.74,578045.76,19145770,32670489.81
AIM/TREASURY CURVE MMF,,,,,,,,,,,,,485209.56,59196.09,17579.37,9616.25,15306.92,,,,,,,,,,586908.19
AIRPORT AUTHORITY,37207143.65,18808333.39,19302127.41,7651560.19,11634293.37,7373715.48,20722536.92,14701223.98,12464051.93,8342173.87,6897619.05,10695669.85,3916840.22,6203204.84,15502545.7,3725104.09,4967182.27,4341984.37,3375172.59,2376095.19,1892452.69,4756547.21,2863622.78,2435633.18,938509.51,2649972.34,235745316.1
ALTERNATE RETAIL ELECTRIC SUPP,,,,,,,,,,,,,,7148261.61,5606245.18,2156777.61,38382345.57,77172263.09,86278411.02,71649805.76,,,,,,,288394109.8
ALTON CENTER BUSINESS PARK,,,,,,,,,,,,,,,,,,,,,,,,,291666.69,458333.37,750000.06
AMBULATORY/SURGICAL TREATMENT,,,,,,48800,,,,,,,,,,,,,,,,,,,,,48800
AMTRACK RAIL SERV,,,,70200,,,,,,,,,,,,,,,,,,,,,,,70200
ANNA VETERANS' HOME,,,,,,,,,21.38,54.94,201.8,541.23,23.54,29.21,35.03,82.2,110.1,148.8,,,,,,,,,1248.23
APPELLATE COURT-FIRST DISTRICT,,,,,,,,81100,176450,157200,148215,84723,,,,,,,,,,,,,,,647688
ARSON FINES,,,,,,,,1279,3002.6,7191.9,,,,,,,,,,,,,,,,,11473.5
ARSON OFFENSE REIMBURSEMENT,,,,,,,,,,,,,,,,,324.46,2124.92,,,,20,,,,,2469.38
ARSONIST REGISTRATION FINES,,,,,,,,,,,,,,,,,,,500,,,,,,,,500
ARTICLE 36 SEIZURES,,,,,,,,,,,,,,,,,,,,453856.74,94513.26,43115.34,27139.18,2416.61,14606.13,2845,638492.26
ASBESTOS ABATEMENT RECOVERY,3203002.16,5030120.93,29820.14,,2281739.94,2581086.94,2633339.96,55000,,5240750,4936050.01,4972028.07,2637668.21,3201435.27,107465.71,36880.91,,,,6488.09,,,,,,,36952876.34
ASO/QC-UNIV/LCL NON IRS DEPNDS,,,,,,,,,,,,,12663956.03,14442410.92,14950838.29,15698993.69,21378033.64,7230962,8209938.36,6793066.23,6312986.26,6989154.51,4275176.79,4308580.11,3922228.53,5097514.12,132273839.5
ASSOCIATED BANK NOW ACCOUNT,,,,,,,,,,,,,426308.66,293155.08,,,,,,,,,,,,,719463.74
BACCALAUREATE NURSING LOANS,17705.52,10002.62,12590.63,9126.16,2032.02,988.15,3643.91,2931.5,3768,1072.59,1018.31,330,222,823.5,97,,,,,,,,,,,,66351.91
BANK OF AMERICA MONEY MARKET,57054.84,91255.11,79415.43,18005.51,1481.14,,,,,,,,,,,,,,,,,,,,,,247212.03
BANK ONE SPFLD 1 GROUP MMF,,,66087.55,47177,14138.42,11362.15,2136.76,26850.06,69840.31,110787.25,88162.1,4014.12,,,,,,,,,,,,,,,440555.72
BEP PROGRAM SETTLEMENT,,,,,,,,,,,,,,,,,,,,,,,,,,300000,300000
BID BONDS-CONTRACTOR DEFAULT,,,,,,,30000,,590410.57,,,5000,32500,,,,,,,,,1955500,9671.7,11628.62,,,2634710.89
BID DEPOSITS/PROCURE EVENTS,,,,,,,,,,,,,,,,,,358668,1123687.04,4151.96,13136,231826.18,1900938.9,458322.65,301554.51,579909.55,4972194.79
BILLETING OPERATIONS PROCEEDS,,,,,,,,,,,,,,,,,,339331.18,397316.04,383587.71,316970.56,292676.58,329668.11,457899.16,409105.24,526650.46,3453205.04
BLACK ROCK LIQUIDITY/CABRERA P,,,,,,,,,,,,,,,,,,,,,,,,24445.16,29776.86,875636.09,929858.11
BOA TOLL HGWY-CLRNG REPUR AGRE,,,,,,,,,,,,,308.92,2681.94,1846.85,7.8,7.72,,,,,,,,,,4853.23
BOAT DOCK & RELATED FEES,2039793.35,2297128.54,2599968.53,2862717.39,3099857.48,3351272.93,3195556.43,2986131.97,2990207.61,3060882.15,3031193.93,2717320.62,2451223.93,2309965.36,1915953.54,1884621.35,1622238.55,1640479.69,1208436.15,197559.5,2087,1620,2135,4213,3466.75,3323,47479353.75
BOAT/CIRCUIT CLERK,65895.3,78850.82,72954.24,73178.42,109317.52,132426.96,101072.73,94367.8,125283.04,143956.64,144154.73,127722.53,127079.14,130603.22,150897.39,117615.47,114944.55,128440.35,130664.41,139657.82,118707.04,104300.5,51010.99,36480.3,41746.5,38542.61,2699871.02
BREAKAGE-ARLINGTON PARK RACE,891137.64,631282.77,317939.22,,,,,,,,,,,,,,,,,,,,,,,,1840359.63
BREAKAGE-BALMORAL RACE CLUB,308480.52,334661.1,164004.16,,,,,,,,,,,,,,,,,,,,,,,,807145.78
BREAKAGE-FAIRMONT PARK-OGDEN,362826.28,357200.27,177671.36,,,,,,,,,,,,,,,,,,,,,,,,897697.91
BREAKAGE-HAWTHORNE RACE INC,452534.19,589530.5,388086.54,,,,,,,,,,,,,,,,,,,,,,,,1430151.23
BREAKAGE-MAYWOOD PARK ASSOC,38203.36,71512.59,72416.17,,,,,,,,,,,,,,,,,,,,,,,,182132.12
BREAKAGE-MAYWOOD PARK TROT,429219.79,359294.39,122039.99,,,,,,,,,,,,,,,,,,,,,,,,910554.17
"BREAKAGE-QUAD CITY DOWNS,",119729.89,106230.18,52460.8,,,,,,,,,,,,,,,,,,,,,,,,278420.87
BSF RAILWAYS DERAILMENT,,,,,,,,,,,,,,,,,,,65090.35,11062.51,,,,,,,76152.86
BUDGET STABILIZATION FUND,,,,,2682634.5,140534.25,127410.52,1383703.52,1642153.53,3342227.09,2480783.94,717413.66,156471.08,36874.2,2374.71,7157.15,1564.94,,,,,,,,,,12721303.09
BUILD ILLINOIS ESCROW,,,8066.2,,,,,,,,,,,,,,,,,,,,,,,,8066.2
BUILDING AND SPACE RENTALS,485869.2,767299.2,644238.3,563243.3,599747.73,770180.05,736109.8,302370.4,,,,,,,,,,,,,,,,,,,4869057.98
CANNABIS CONTROL ACT,,,,,,,,,,,,,,,,,,,,43263.6,78796.5,69608.82,30180.46,10633.33,6766.95,4490.62,243740.28
CARNIVAL & AMSEMNT RIDES FINES,,,,,,,,,,,,,,22000,1500,6250,5150,1935,1500,9210,4137.27,1001,1355.01,5850.02,,23250,83138.3
CARRIER REFUNDS,6091862.68,5443131.77,4416219.6,4426356.07,7618515.3,8065175.85,12771332.11,15501949.46,17305176.53,24579816.22,31497117.23,32027018.05,35925623.83,47829036.9,45029925.84,50536358.01,45611039.04,59934693.84,63728656.42,42894510.63,62719568.63,29592957.19,10674098.73,7680729.43,723709.16,3902832.28,676527410.8
CASH RECEIPT OVERAGES,,,,,,154,,,,,,12.38,210.5,20.99,0.1,,,,30.62,502,328.35,,,,,,1258.94
CEMETERIES & BURIAL TRUST,25600,30620,168843.02,70222.43,51029.03,103454.5,45327.3,15297.47,24843.44,60112.85,106344.42,43163.35,70347.41,31142.27,55604.99,163068.13,37825.36,121486.03,95691.19,67110.96,67371.64,97428.23,92922.46,45961.96,148631.52,111589.85,1951039.81
CHICAGO-G. A. PROGRAM,21900000,21202200,26902400,24551800,20855000,22695333.3,16153004.62,16450773.17,8321211.95,7653242.23,7846150.55,3095524.83,,,,,,,,,,,,,,,197626640.7
CHILD SUPPORT,,,,15383.8,205220.2,374184.7,401298.74,358808.11,407542.66,500588.51,342866.24,273424.97,280294.77,317625.1,312573.72,353668.08,203448.93,248744.44,210956.28,297084.37,326830.86,286193.91,500146.18,234625.7,206302.25,358441.72,7016254.24
CHILD SUPPORT CLEARING,330770.71,315149.01,350103.51,325060.05,134385.84,71443.78,58744.19,130789.64,260813.6,327701.38,214141.28,33038.86,6297.17,7009.32,2394.75,3518.05,1926.75,2635.9,8508.95,26451.83,67450.77,98075.54,66646.82,461.92,5664.72,70738.11,2919922.45
CHILD SUPPORT ENFORCE FUND,2551224.73,1150382.42,1022757.42,2770280.78,1077185.19,570613.39,365755.4,779416.8,1615424.14,2287367.94,1691855.34,450107.96,53934.98,60868.95,28890.93,31784.35,6562,6367.76,43574.47,137875.3,299257.75,632557.82,454053.13,88462.39,74170.8,1209866.3,19460598.44
CHILD SUPPORT ENFORCEMNT RECOV,,,,,,,9027.38,,,,,,,,,,,,,,,,,,,,9027.38
CHILD SUPPORT-AFDC NON-ILL,129814.3,192548.11,176665.35,213237.59,169496.26,180373.28,,,,,,,,,,,,,,,,,,,,,1062134.89
CHILD SUPPORT-OUT-OF-STATE,169664.27,184467.9,152156.53,207703.62,272844.94,312225.03,,,,,,,,,,,,,,,,,,,,,1299062.29
CHURCHILL DOWNS TECH INIT,,,,,,,,,,,,,49088.47,86485.89,101451.81,89368.1,175920.61,179575.34,187089.22,205340.52,236173.7,141456.64,,,,,1451950.3
CIR CLK ASSESS-DRUG REL OFF,,,,,,,,,,,,,25,,,,,,,,,,,,,,25
CIR CLK FINES PEN & ASSMENTS,,,,,,,,,,,,,,,149.45,1151.37,11527.08,9031.45,3781.16,4066.03,3654.62,4212.45,7374.69,9610.65,13309.59,19122.5,86991.04
CIR CLK-EXPUNGE JUV REC'DS,,,,,,,,,,,,,1060.75,,,14040,19825,11700,269392.5,7860,206557.5,420,480,,,,531335.75
CIRCUIT CLERK,9959540.14,11025463.26,11644192.32,12370502.44,12630981.62,13398912.59,13400769.35,14882881.63,20318804.55,24182926.37,28058064.75,27023875.47,26451056.05,26049521.83,25565426.22,24878619.09,26267515.43,26351119.65,25056990.32,22877789.42,20972333.43,20471543.8,24232527.06,24702966.19,25635666.32,25495757.27,543905746.6
CIRCUIT CLRK-EMERGENCY RESPONS,,,,,,,,,,,,,,,,6276.43,10390.6,12616.62,6388.95,3855.54,5387.04,5275.28,1552.79,4221.16,1677.89,1786.63,59428.93
CITIBANK NOW ACCOUNT,,,,,,,,,,,,,12500.01,,,,,,,,,,,,,,12500.01
CIVIC CENTER BOND PROCEEDS,12310.32,8803.87,9844.18,10113.51,3999.45,2443.13,769.4,,,,,,,,,,,,,,,,,,,,48283.86
CIVIL  MONETARY PENAL L/T CARE,,,,,,,717970.29,774885.78,692102.51,804564.64,1143919.28,897873.73,796261.79,550690.1,642858.74,712873.22,793380.25,1095138.58,1231155.54,805504.06,1343259.99,1434462.03,2019529.11,884521.45,739957.29,2328075.15,20408983.53
CIVIL PENALTIES,4640417.8,4205428.48,2751799.54,4009725.62,5421152.07,7598515.08,5128902.75,3907322.39,6146792.14,6426840.03,3847980.86,5024638.02,6056564.51,4366808.34,4634306.95,3009935.23,3388780.83,3562416.41,5785942.4,3348853.7,3207512.13,4129901.26,2761349.35,3409921.8,2642775.62,3477032.34,112891615.7
CO SHERRIFF & MUNI POLICE DPT,,,,,,,,,,,,,,,55,923,10,1397,1847.84,370,2638,892,,,,,8132.84
COLLEGE CREDIT HR REIMB,,,,,13888.19,62475.91,64433.11,25600.71,27159.09,25950.52,22905.73,14261.28,3829.88,1470,1660,1770.78,963,200,,100,,495,,,,,267163.2
COMM SERV/VISUAL HANDICAPPED,34.4,,,,,20,,,,,,,,,,,,,,,,,,,,,54.4
COMMERCIAL INSTRUMENTS,68007830.03,89604963.32,107484773.6,91200166.12,33152574.29,15264771.48,7020613.23,4403716.65,12384615.25,4363510.07,30938517.19,1489288.45,313793.61,6294823.02,884034.5,1420256.01,958059.55,794221.56,3028371.88,5993228.42,4715734.5,4378726.4,5779188.43,16336342.28,360650.14,42736568.04,559309338
COMMISSION INCOME,,,,,,,,,,,,,,,,,,,,,,,,10058.42,254.56,,10312.98
COMMON SCHOOL FUND,,,,,,,,,,,,,,,,,40000000,80000000,45000000,50000000,50000000,50000000,50000000,55000000,60000000,60000000,540000000
COMMONWEALTH EDISON,,1000000,,,,,,,,,,,,,,,,,,,,,,,,,1000000
COMMUNITY INVEST PORTFOLIO,591562.81,,,,,,,,,,,,,,,,,,,,,,,,,,591562.81
COMMUTING EXPENSE,,,,,858080.43,1499090.13,1432348.75,1570645.46,1674246.72,1527562.29,1659010.43,1756326.19,1953003.28,1942996.27,1962490.17,2090833.87,2039200.84,1977220.5,2010422.19,2356017.46,2554780.51,2662576.39,2547969.62,627923.95,545916.56,593642.77,37842304.78
CONCESSION REVENUE,213609.36,184872.14,209697.65,197117.67,132572.55,157432.96,147780.01,173161.03,241084.96,260480.02,253732.95,252599.76,233067.51,200266.53,132547.12,117780.36,108247.2,129345.68,121654.74,195390.43,327339.62,306981.96,356068.33,415958.68,444367.22,445750,5958906.44
CONDITION RATING SURVEY COLL,,,,,,,,,,,,,,,,,,,,,,42634.4,,,,,42634.4
CONSOLIDATE/UNIV DEPEND CARE,1605908.68,1882234.46,1987977.37,2133503.46,2108531.45,2226060.59,2126681.59,2316261.69,2476598.99,2974180.89,3369919.76,3775905.91,3691184.23,3534887.58,3894434.58,3916786.75,4001872.58,4136642.87,4462969.58,4426189.78,4579018.41,8081883.74,10395953.68,10720223.24,10319285.45,10914945.69,116060043
CONSOLIDATION/DEPENDENT CARE,3507783.84,3096574.05,3152419.35,2938287.14,3126240.42,3051263.49,2992422.92,2929875.59,2921621.43,3096418.52,3169702.18,3094196.1,3044282.96,3000993.78,2978970.59,2701557.95,2702602.09,2790683.28,2833310.3,2791110.38,2814123.27,3196037.8,3379791.78,2341301.33,2887471.09,2993414.07,77532455.7
CONSOLIDATION/MED CARE PLAN,3253347.51,2797465.08,3181609.85,3835683.79,4311861.98,4399393.07,4101782.83,5525754.52,5772679.3,7618758.79,8933641.25,10594334.28,11803384.72,12733508.57,13326772,11190677.52,11275950.43,12051402.85,12548161.75,11630826.31,11820345.62,12400345.64,13386120.02,13682375.11,13811529.52,14504552.93,240492265.2
CONSOLIDATION/UNIV-MED ASSIS,1243104.99,1616024.2,1937003.77,2428661.35,2769554.96,3089013.91,2960078.14,3997704.69,4065818.76,5502104.53,6458180.76,7474070.67,8183081.87,8430394.2,8825438.84,7899218.32,7879574.91,8206276.71,9195248.18,8939944.31,9319777.72,6527032.56,5313863.67,3689878.92,4661594.02,4622510.84,145235155.8
CONSUMER LAW/ELDERLY VICTIM,888214.21,1990552.67,2176092.89,823150.53,,,,,,,,,,,,,,,,,,,,,,,5878010.3
CONSUMER LAW/ELDERLY VICTIMS,,,,,3561681.31,4786760.5,1181057.79,1726559.81,4708361.88,4394355.36,9801047.36,6022144.22,2461945.54,3581928.81,8788514.41,12467147.69,3322630.36,9965344.91,4956521.08,21777576.81,5203610.19,22263534.76,21930126.93,21591281.16,13143267.55,13954843.13,201590241.6
CONTRACTS & GRANTS-PRIVATE ORG,,,,,,,,189998,533227,1064787,796508.26,837821.5,524218.5,722909.29,1701090,971000,125000,50000,50000,100000,,,,,,,7666559.55
CONTRIB STATE/ST OFFICERS,3633.63,1981.98,4971.41,,14110.09,313,2942.91,,74.8,3360.82,203.71,5085.87,167281.55,50823.1,23291.23,314.46,2517.02,3394.17,6209.16,1844.97,,2933.3,5030.43,6765.14,4428.53,35,311546.28
CONTRIB.- ST. OFFICER SALARY,,,,,31949.44,674.83,,,200,,,,,,,,,,,,,,,,,,32824.27
COOK COUNTY OVERTIME REIMB.,,,,,,788.16,3529.54,3770.72,,,,,,,,,,,,,,,,,,,8088.42
COOK COUNTY REIMBURSEMENTS,,,,,,,,,,,,,,,,,,,,,99652.97,18823.58,68273.89,44395.62,,,231146.06
CORP BOND INT-EXT INV MANAGER,,,,,,,,,,,,,,,,,,,,57344.69,841804.53,2666457.25,1918592.78,,,,5484199.25
CORPORATE BONDS,,,,,,,,,,,,,,,,,,,,63221.78,2169528.2,7637415.21,6780396.19,8860234.94,,24826458.82,50337255.14
CORRECTIONAL SCHOOL DISTRICT,2370.65,6989.95,932.64,761.22,1631.57,75430.45,38125.29,407.6,57.2,,,,,,,,,,,,,,,,,,126706.57
COUNTY REIMB. FOR EXPENSES,,,,,,59.94,3954.56,4566.36,3123.7,3208.62,5422.79,4809.61,4376.39,3449.89,1472.66,1302.75,3770.09,1351.48,1970.07,2904.4,1710.22,2027.29,2641.67,,,,52122.49
COURT & ANTI-TRUST DIST,253334.4,1565457.4,3333962.47,7879166.54,3045507.03,3863599.23,16583368.91,11605234.48,17490684.8,16426697.62,25975053.28,136997209.9,27571237.35,57179026.18,25649476.59,69262071.64,59562764.66,25300548.35,26789949.63,26507989.1,46906390.5,130515905.5,77338100.08,23997050.49,22566248.7,25847093.51,890013128.2
COURT & ANTI-TRUST DISTRIB.,,,,,,,,,12838640.09,579.19,,15002.09,836.55,148.28,,136.78,,111.74,,50,1616618.92,,,,,,14472123.64
COURT DIST/CHARITABLE TRUST,1250100,1499,235020.44,78000.63,565676.49,1156919.95,43402.84,873250,24800,2832,4575,3082,3250,3000,5251,729020.43,22500,24500,21000,20000,11000,,31470.91,30001.66,51669.83,,5191822.18
COURT DIST/CONSUMER EDUC,40320.66,11134,3690,12298.29,1541,1816.27,3317,5000,99,635,1263977.77,4810060,,,,3364326,,0.71,,,2538.23,63.04,,,,11499175.77,21019992.74
COURT DIST/CONSUMER ENFORCE,901444.16,23833.76,,,,,,,,,,,,,,,,,,,,,,,,,925277.92
COURT DIST/CRIMINAL ENFORCE,10000,,,,,,,,,,,,,,,,,,,,,,,,,,10000
COURT DIST/ENVIRONMENTAL,,100000,2000,828000,1250,1182562.5,1295434.93,838994.68,607993.31,545200,968182.23,291839.67,128960.8,114285.42,775,2688.58,,,13892.44,203502.2,500000,160000,,1357.07,3715887,,11502805.83
COURT DIST/HOME SERV 48-GRF,,,,,,,,,,,,,,,,,,,,,15275303.78,16215860.42,,,,,31491164.2
COURT REIM/INCARCERATE INDIV,3652.3,1008.91,7975.94,26671.92,112969.48,145049.95,342445.04,326451.61,314593.22,161909.96,27570.23,73976.05,9876.42,29442.93,97281.68,3949.88,,354946.89,128798.21,,66716.67,,,,,,2235287.29
CREDIT BUREAU REPORTING,,,,,,,832936.27,1013032.92,805416.81,739440.06,482973.31,134943.43,44699.9,76328.05,11448.64,,,,,,,,,,,,4141219.39
CREMATORY,1450,1600,2275,1885,1685,2120,3920,1925,2400,2325,2385,2525,2625,2900,2835,2975,1860,4500,3643,3600,4175,4065,3905,3600,4670,4625,76473
CRIME VICTIMS,56479.87,62319.18,113627.87,232735.31,205195.34,227670.28,137284.2,143332.34,100378.02,149736.11,184214.91,174470.01,124367.13,90498.18,235634.25,167534.52,117035.25,96775.68,126526.13,28048.32,16163.1,30736.54,16411.01,27378.59,8938.05,63662.32,2937152.51
CRT COURT ORDER # 83CH942,30315,47191,42258,32081,22978,13399,9589,21192,31486,43646,35701,8258,2201,1950,1539,1393,1547,1597,1743,2844,5300,7939.46,6821.59,1163.11,1058.4,9569.75,384760.31
CRT DIST/DISPT RAISE-FED,,,,,,,,,,,,,,,,4314604.38,,,,,,,,,,,4314604.38
CRT DIST/DISPT RAISE-GRF,,,,,,,,,,,,,,,,28034720.29,,,,,,,,,,,28034720.29
CRT DIST/DISPT RAISE-OTHR ST,,,,,,,,,,,,,,,,6578605.16,,,,,,,,,,,6578605.16
CRT DSPTD RTRE HLTH INS PREM,,,,,,,,,,,,,,,,,22811700.84,40318124.94,,,,,,,,,63129825.78
DAMAGE & WORKER'S COMP CLAIM,5657811.5,4338134.06,5357896.05,4727791.75,4993433.99,5622150.9,5887815.9,5076040.59,5779263,5836628.13,6111681.59,9369852.39,7763753.97,6660561.68,6155414.88,5237956.51,6166608.16,6882746.24,6715770.92,7888508.37,9467787.21,8844397.86,7313410.82,9538284.52,8708724.9,11541587.83,177644013.7
DEALER ADMIN PENALTIES,,,,,,,,,,,,,,,,,18000,17600,96900,20550,16700,20200,20350,5350,18500,21800,255950
DEBT COLLECTION RETAINAGE,,,,,,,,,4780.05,27083.43,11310.87,20302.74,22274.47,7888.04,,,,,,,,,,,,,93639.6
DEFER REAL ESTATE TAX REIM,1458625.68,1927949.12,2219628.48,2297189.19,3481754.33,2943445.79,3691794.81,3827611.69,4691141.07,4991440.13,3624441.4,3658559.15,3813721.06,4557011.32,5846275.51,6203859.63,5871570.61,6278808.3,7483269.74,8061856.22,7067761.22,6223264.42,5836365.01,5424868.63,6890167.51,5244547.41,123616927.4
DEFERRED COMP PRIME RESERVE,3256.84,2298.73,1684.54,2303.78,878.87,1301.71,538.17,405.01,1838.42,,,818,1.06,,,,,,,,,,,,,,15325.13
DEL VEHICLE DLR TRANSFER FEE,,,,,,,,,,,,,,,,,320100,3087775,4620892,3712921.45,3420647.05,3969665,3726569.9,3611279,5696560,5034513,37200922.4
DEMUTUALIZATION-INSURANCE COMP,,,,,,,,,69983787.27,,,,,,,,,,,,,,,,,,69983787.27
DEPARTMENT OF PUBLIC AID,3499557.75,3837327.71,3822934.99,4243389.07,4345553.16,4851011.86,5095260.37,5463309.79,5865703.43,6110406.43,6836337.84,6583137.46,6236633.6,5813224.86,5606483.75,5126788.47,4949754.44,4862188.01,4503943.17,4057764.56,3887716.66,3709490.31,2254728.56,1402263.33,1001299.98,997988.58,114964198.1
DEPARTMENT OF PUBLIC HEALTH,3499557.79,3837327.68,3822934.96,4243389.08,4345553.12,4851011.91,5095260.34,5463309.85,5865703.49,6110406.48,6836337.79,6583137.63,6236633.78,5813224.79,5606483.79,5126789.11,4949755.12,4862187.65,4503943.17,4057764.47,3887716.51,3709490.61,2254728.55,1402263.75,1001300.4,997989.05,114964200.9
DEPOSITS-AGENCY EQUIPMENT,,,,,,,,,160350,22350,13150,13900,10250,10150,10650,14700,13400,11550,9500,11550,8250,3750,3500,8675,7250,6000,338925
DEPT  OF HUMAN SERVICES,55000,,,,,,,,,,,,,,,,,,,,,,,,,,55000
DFI AWARDS,,,,,,,,,19727.6,,,,,,,,,,,,,,,,,,19727.6
DISALLOWED COSTS,,,,,,,,,,,,,,,396.5,461.62,226,,,53516.56,,,,,,,54600.68
DISASTER RELIEF REFUNDS,,,,,,690.25,,,99867.19,13187632.72,,,41688.54,7838.64,,,,,,,,,,,,,13337717.34
DISPOSAL OF EQUIPMENT,,10465,24625.22,15116.25,12995,17255,19689.43,47805.34,20817.33,25794.81,76999,26914,15223.16,50948,12885,6676,20424.5,8774.96,1235,984,2048,643.26,4915.28,5500,5950,401,435084.54
DISTRICT OFFICE ALLOTMENT,14018.9,12129.37,12554.71,3706.3,7133.22,18373.96,5317.25,294.43,1816.27,305.48,399.55,822.5,942,324.12,361.74,78.36,258,114.11,165,1068.89,301.4,17.2,,50.12,162.8,2818.54,83534.22
DNR/FEMA GRANT REPAY,,,64650,,,,,,,,,,,,,,,,,,,,,,,,64650
